대업종,중업종,항목,전체,5인 미만,5~9인,10~29인,30~49인,50~99인,100~299인,300~499인,500~999인,1000인 이상,통계기준년
전기·가스·증기 및 수도사업,소계,요양재해율 (%),0.16,0.27,0.34,0.5,0.29,0.12,0.13,0.06,0.03,0.11,2022
전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,사업장수 (개소),3502,2341,267,299,200,242,118,23,5,7,2022
전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,근로자수 (명),79103,2915,1765,5387,7662,16919,20332,8666,3887,11570,2022
전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,요양재해자수 (명),129,8,6,27,22,20,27,5,1,13,2022
전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,요양재해율 (%),0.16,0.27,0.34,0.5,0.29,0.12,0.13,0.06,0.03,0.11,2022
건설업,소계,사업장수 (개소),396622,324203,32053,28316,4784,3382,2938,623,265,58,2022
건설업,소계,근로자수 (명),2494031,395474,211878,452627,179680,234170,504312,231866,169417,114607,2022
건설업,소계,요양재해자수 (명),31245,11522,3680,6194,1964,2009,3466,1326,655,429,2022
건설업,소계,요양재해율 (%),1.25,2.91,1.74,1.37,1.09,0.86,0.69,0.57,0.39,0.37,2022
건설업,건설업,사업장수 (개소),396622,324203,32053,28316,4784,3382,2938,623,265,58,2022
건설업,건설업,근로자수 (명),2494031,395474,211878,452627,179680,234170,504312,231866,169417,114607,2022
건설업,건설업,요양재해자수 (명),31245,11522,3680,6194,1964,2009,3466,1326,655,429,2022
